"","record_type","group","formation","member","lithology","max_ma","min_ma","cc_list","n_colls","n_occs"
"343","str","Trinity","Antlers","middle","claystone,claystone/sandstone",122.46,109,"US",3,20
"344","str","Trinity","Holly Creek","","mudstone/sandstone",113,100.5,"US",1,2
"345","str","Trinity","Paluxy","Middle","claystone",113,100.5,"US",1,1
"346","str","Trinity","Paluxy","Upper","claystone",113,100.5,"US",1,1
"347","str","Trinity","Twin Mountains","","siltstone",122.46,112.03,"US",1,2
"348","str","Tsagayan","Udurchukan","","claystone",70.6,66,"RU",1,1
"349","str","Uspallata","Cerro de Las Cabras","","siltstone",247.2,242,"AR",2,3
"350","str","Wealden","Tunbridge Wells Sand","Grinstead Clay","""limestone""",140.2,136.4,"UK",1,3
"351","str","Wealden","Vectis","","",130,122.46,"UK",1,1
"352","str","Wealden","Wadhurst Clay","","conglomerate",140.2,136.4,"UK",3,7
"353","str","Wealden","Wessex","","conglomerate",129.4,125,"UK",4,8
"354","str","Woodbine","Lewisville","","""shale""/sandstone,siltstone",99.6,93.5,"US",3,4
"355","str","Zechstein","Werra","","mudstone",259.9,254.17,"DE",1,1
