"","orig_no","taxon_no","record_type","flags","taxon_rank","taxon_name","difference","accepted_no","accepted_rank","accepted_name","parent_no","container_no","reference_no","is_extant","n_occs"
"1551","347495",347495,"txn","","species","Stylidens hookeri",NA,347495,"species","Stylidens hookeri",347494,"",60779,"extinct",1
"1552","39863",39863,"txn","","family","Kuehneotheriidae",NA,39863,"family","Kuehneotheriidae",67456,"",4783,"extinct",19
"1553","371906",371906,"txn","","genus","Fluctuodon",NA,371906,"genus","Fluctuodon",39863,"",66017,"extinct",2
"1554","371907",371907,"txn","","species","Fluctuodon necmergor",NA,371907,"species","Fluctuodon necmergor",371906,"",66017,"extinct",1
"1555","212340",212340,"txn","","genus","Kotatherium",NA,212340,"genus","Kotatherium",39863,"",42351,"extinct",2
"1556","212341",212341,"txn","","species","Kotatherium haldanei",NA,212341,"species","Kotatherium haldanei",212340,"",42351,"extinct",1
"1557","39864",39864,"txn","","genus","Kuehneotherium",NA,39864,"genus","Kuehneotherium",39863,"",12306,"extinct",14
"1558","206725",206725,"txn","","species","Kuehneotherium praecursoris",NA,206725,"species","Kuehneotherium praecursoris",39864,"",12306,"extinct",3
"1559","371905",371905,"txn","","species","Kuehneotherium stanislavi",NA,371905,"species","Kuehneotherium stanislavi",39864,"",66017,"extinct",1
"1560","NF54",NA,"txn","","family","",NA,NA,"","",NA,"67456",NA,"",15
"1561","53175",53175,"txn","","genus","Adelobasileus",NA,53175,"genus","Adelobasileus",67456,"NF54",7920,"extinct",2
"1562","53176",53176,"txn","","species","Adelobasileus cromptoni",NA,53176,"species","Adelobasileus cromptoni",53175,"",7920,"extinct",1
"1563","252020",252020,"txn","","genus","Bocaconodon",NA,252020,"genus","Bocaconodon",67456,"NF54",43805,"extinct",2
"1564","252021",252021,"txn","","species","Bocaconodon tamaulipensis",NA,252021,"species","Bocaconodon tamaulipensis",252020,"",43805,"extinct",1
"1565","91337",91337,"txn","","genus","Hadrocodium",NA,91337,"genus","Hadrocodium",67456,"NF54",19467,"extinct",2
"1566","91338",91338,"txn","","species","Hadrocodium wui",NA,91338,"species","Hadrocodium wui",91337,"",19467,"extinct",1
"1567","39747",39747,"txn","","genus","Sinoconodon",NA,39747,"genus","Sinoconodon",67456,"NF54",43832,"extinct",9
"1568","203414",203414,"txn","","species","Sinoconodon rigneyi",NA,203414,"species","Sinoconodon rigneyi",39747,"",43832,"extinct",4
"1569","39229",39229,"txn","","family","Tritheledontidae",NA,39229,"family","Tritheledontidae",67455,"",35205,"extinct",45
"1570","174513",174513,"txn","","unranked clade","Chalimininae",NA,174513,"unranked clade","Chalimininae",39229,"",34664,"extinct",4
"1571","NF55",NA,"txn","","family","",NA,NA,"","",NA,"174513",NA,"",4
"1572","39230",39230,"txn","","genus","Chaliminia",NA,39230,"genus","Chaliminia",174513,"NF55",4783,"extinct",4
"1573","174512",174512,"txn","","species","Chaliminia musteloides",NA,174512,"species","Chaliminia musteloides",39230,"",34664,"extinct",2
