Species	Status
Hadrocodium_sp.	extinct
Hahnia_sp.	extinct
Hahnodon_sp.	extinct
Hahnotherium_sp.	extinct
Hakusanobaatar_sp.	extinct
Hakusanodon_sp.	extinct
Haldanodon_sp.	extinct
Hallautherium_sp.	extinct
Haramiyavia_sp.	extinct
Hatcheritherium_sp.	extinct
Heishanlestes_sp.	extinct
Heishanobaatar_sp.	extinct
Helvetiodon_sp.	extinct
Henkelodon_sp.	extinct
Henkelotherium_sp.	extinct
Henosferus_sp.	extinct
Herpetairus_sp.	extinct
Herpetarius_sp.	extinct
Holoclemensia_sp.	extinct
Hoodootherium_sp.	extinct
Hovurlestes_sp.	extinct
Hutegotherium_sp.	extinct
Hwanghocynodon_sp.	extinct
Hydotherium_sp.	extinct
Hyotheridium_sp.	extinct
Hypomylos_sp.	extinct
Hypsiprymnopsis_sp.	extinct
Iberica_sp.	extinct
Iberodon_sp.	extinct
Ichthyoconodon_sp.	extinct
Impidens_sp.	extinct
Indobaatar_sp.	extinct
Indotherium_sp.	extinct
Infernolestes_sp.	extinct
Iqualadelphis_sp.	extinct
Irajatherium_sp.	extinct
Itatodon_sp.	extinct
Iugomortiferum_sp.	extinct
Janumys_sp.	extinct
Jeholodens_sp.	extinct
Juchilestes_sp.	extinct
Jugulator_sp.	extinct
Juramaia_sp.	extinct
Kamptobaatar_sp.	extinct
Kataigidodon_sp.	extinct
Kayentatherium_sp.	extinct
Kemchugia_sp.	extinct
Kennalestes_sp.	extinct
Kepolestes_sp.	extinct
Kermackia_sp.	extinct
Kermackodon_sp.	extinct
Khorotherium_sp.	extinct
Kielanobaatar_sp.	extinct
Kielanodon_sp.	extinct
Kielantherium_sp.	extinct
Kimbetohia_sp.	extinct
Kirtlingtonia_sp.	extinct
Kiyatherium_sp.	extinct
Klamelia_sp.	extinct
Kokopellia_sp.	extinct
Kollikodon_sp.	extinct
Koreasaltipes_sp.	extinct
Kotatherium_sp.	extinct
Kouriogenys_sp.	extinct
Krebsotherium_sp.	extinct
Krusatodon_sp.	extinct
Kryoryctes_sp.	extinct
Kryptobaatar_sp.	extinct
Kuehneodon_sp.	extinct
Kuehneotherium_sp.	extinct
Kulbeckia_sp.	extinct
Kunminia_sp.	extinct
Labes_sp.	extinct
Lactodens_sp.	extinct
Lainodon_sp.	extinct
Lakotalestes_sp.	extinct
Langbergia_sp.	extinct
Laolestes_sp.	extinct
Lavanify_sp.	extinct
Lavocatia_sp.	extinct
Leonardus_sp.	extinct
Lepagia_sp.	extinct
Leptacodon_sp.	extinct
Leptalestes_sp.	extinct
Liaobaatar_sp.	extinct
Liaoconodon_sp.	extinct
Liaotherium_sp.	extinct
Lotheridium_sp.	extinct
Loxaulax_sp.	extinct
Luangwa_sp.	extinct
Lufengia_sp.	extinct
